场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh)_问题二,售电量(MWh)_问题二,最大购电功率(MW)_问题二,最大反送功率(MW)_问题二,交换功率峰谷差(MW)_问题二,最大爬坡功率(MW/h)_问题二,交换功率标准差(MW)_问题二,购电量(MWh)_问题三,售电量(MWh)_问题三,最大购电功率(MW)_问题三,最大反送功率(MW)_问题三,交换功率峰谷差(MW)_问题三,最大爬坡功率(MW/h)_问题三,交换功率标准差(MW)_问题三,购电量(MWh)_变化,售电量(MWh)_变化,最大购电功率(MW)_变化,最大反送功率(MW)_变化,交换功率峰谷差(MW)_变化,最大爬坡功率(MW/h)_变化,交换功率标准差(MW)_变化
风电2-光伏3,2,3,72,822.136,0.0,41.638200000000005,0.0,18.316400000000005,4.630200000000002,4.752232883837052,822.136,0.0,41.638200000000005,0.0,18.316400000000005,4.630200000000006,4.752232883837052,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0
风电2-光伏4,2,4,36,427.58859999999993,38.8126,39.354,11.7782,51.1322,45.49020000000001,19.683368220234396,382.1318,3.3558,39.2842,1.6719999999999997,40.956199999999995,34.8602,15.135589353646662,-45.45679999999993,-35.4568,-0.06980000000000075,-10.106200000000001,-10.176000000000002,-10.63000000000001,-4.547778866587734
风电2-光伏4,2,4,45,550.1264,36.85040000000001,40.936,11.7782,52.7142,45.49020000000001,20.023873540767948,506.6960087912088,1.6838000000000002,41.638200000000005,1.2157999999999998,42.854000000000006,42.10620000000001,16.0035162409137,-43.43039120879121,-35.16660000000001,0.7022000000000048,-10.5624,-9.860199999999992,-3.3840000000000003,-4.020357299854247
风电2-光伏4,2,4,54,652.9942,15.2182,41.638200000000005,6.0282,47.6664,42.10620000000001,17.120404526762794,632.7759999613802,0.0,41.638200000000005,-0.0,41.638200000000005,38.2062,15.792022492094286,-20.218200038619784,-15.2182,0.0,-6.0282,-6.028199999999998,-3.9000000000000057,-1.3283820346685076
风电2-光伏4,2,4,63,765.6318,3.3558,41.638200000000005,1.6719999999999997,43.3102,42.10620000000001,12.835496156232788,753.7045715232767,0.0,41.638200000000005,0.0,30.692200000000007,24.690200000000004,8.859392554611876,-11.927228476723258,-3.3558,0.0,-1.6719999999999997,-12.617999999999995,-17.416000000000004,-3.9761036016209115
风电2-光伏4,2,4,72,886.7760000000001,0.0,41.638200000000005,0.0,11.916400000000003,5.75,3.4626605127656775,886.776,0.0,41.638200000000005,0.0,11.916400000000003,5.75,3.4626605127656775,-1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,3,1,36,223.3262,445.44620000000003,35.008199999999995,62.0722,97.0804,51.078,31.578465070783075,223.3261995013259,455.44619956155225,35.008199999999995,57.1638,92.172,39.9002,30.9358391738339,-4.986740975709836e-07,9.999999561552215,0.0,-4.9084,-4.9084,-11.177800000000005,-0.6426258969491734
风电3-光伏1,3,1,45,223.3262,320.9462,35.008199999999995,53.79599999999999,88.80419999999998,51.078,25.694584545710534,223.32619940328928,338.19619949073297,35.008199999999995,43.5342,78.54239999999999,35.008199999999995,26.957726249168452,-5.967107199467137e-07,17.24999949073299,0.0,-10.261799999999994,-10.261799999999994,-16.069800000000008,1.2631417034579187
风电3-光伏1,3,1,54,229.8364,202.95639999999997,35.008199999999995,33.5282,68.53639999999999,39.9002,20.788949337568745,223.32619971831215,205.18218872930103,35.008199999999995,39.64,74.6482,35.008199999999995,22.165728612720343,-6.510200281687844,2.2257887293010583,0.0,6.111800000000002,6.1118000000000166,-4.892000000000003,1.3767792751515984
风电3-光伏1,3,1,63,311.2944,159.9144,36.8782,22.834200000000003,59.7124,42.2462,21.44942714798385,273.4381945054946,126.6302,35.008199999999995,22.834200000000003,57.8424,17.75559456785459,19.560629166207548,-37.85620549450539,-33.2842,-1.8700000000000045,0.0,-1.8700000000000045,-24.49060543214541,-1.8887979817763032
